Month,Value
2004-01,63.0
2004-02,67.0
2004-03,100.0
2004-04,86.0
2004-05,83.0
2004-06,64.0
2004-07,66.0
2004-08,59.0
2004-09,61.0
2004-10,66.0
2004-11,62.0
2004-12,57.0
2005-01,76.0
2005-02,81.0
2005-03,99.0
2005-04,95.0
2005-05,92.0
2005-06,70.0
2005-07,62.0
2005-08,57.0
2005-09,61.0
2005-10,64.0
2005-11,59.0
2005-12,52.0
2006-01,61.0
2006-02,67.0
2006-03,71.0
2006-04,68.0
2006-05,64.0
2006-06,60.0
2006-07,56.0
2006-08,49.0
2006-09,46.0
2006-10,50.0
2006-11,45.0
2006-12,48.0
2007-01,54.0
2007-02,51.0
2007-03,67.0
2007-04,53.0
2007-05,59.0
2007-06,57.0
2007-07,49.0
2007-08,47.0
2007-09,45.0
2007-10,43.0
2007-11,43.0
2007-12,40.0
2008-01,54.0
2008-02,51.0
2008-03,59.0
2008-04,55.0
2008-05,60.0
2008-06,53.0
2008-07,46.0
2008-08,41.0
2008-09,41.0
2008-10,43.0
2008-11,37.0
2008-12,35.0
2009-01,47.0
2009-02,51.0
2009-03,59.0
2009-04,53.0
2009-05,67.0
2009-06,66.0
2009-07,54.0
2009-08,53.0
2009-09,55.0
2009-10,52.0
2009-11,53.0
2009-12,54.0
2010-01,70.0
2010-02,71.0
2010-03,73.0
2010-04,66.0
2010-05,71.0
2010-06,67.0
2010-07,50.0
2010-08,51.0
2010-09,48.0
2010-10,43.0
2010-11,48.0
2010-12,41.0
2011-01,51.0
2011-02,50.0
2011-03,55.0
2011-04,50.0
2011-05,61.0
2011-06,52.0
2011-07,44.0
2011-08,42.0
2011-09,45.0
2011-10,45.0
2011-11,42.0
2011-12,39.0
2012-01,48.0
2012-02,52.0
2012-03,54.0
2012-04,44.0
2012-05,49.0
2012-06,45.0
2012-07,37.0
2012-08,39.0
2012-09,38.0
2012-10,37.0
2012-11,38.0
2012-12,33.0
2013-01,45.0
2013-02,46.0
2013-03,54.0
2013-04,51.0
2013-05,53.0
2013-06,49.0
2013-07,47.0
2013-08,44.0
2013-09,41.0
2013-10,40.0
2013-11,40.0
2013-12,34.0
2014-01,49.0
2014-02,44.0
2014-03,50.0
2014-04,52.0
2014-05,58.0
2014-06,57.0
2014-07,49.0
2014-08,50.0
2014-09,43.0
2014-10,40.0
2014-11,42.0
2014-12,36.0
2015-01,53.0
2015-02,47.0
2015-03,50.0
2015-04,48.0
2015-05,58.0
2015-06,61.0
2015-07,50.0
2015-08,50.0
2015-09,48.0
2015-10,45.0
2015-11,41.0
2015-12,38.0
2016-01,41.0
2016-02,42.0
2016-03,41.0
2016-04,44.0
2016-05,53.0
2016-06,49.0
2016-07,41.0
2016-08,39.0
2016-09,37.0
2016-10,34.0
2016-11,36.0
2016-12,31.0
2017-01,47.0
2017-02,44.0
2017-03,46.0
2017-04,44.0
2017-05,54.0
2017-06,52.0
2017-07,46.0
2017-08,45.0
2017-09,41.0
2017-10,37.0
2017-11,41.0
2017-12,33.0
2018-01,48.0
2018-02,43.0
2018-03,43.0
2018-04,43.0
2018-05,53.0
2018-06,49.0
2018-07,42.0
2018-08,45.0
2018-09,42.0
2018-10,41.0
2018-11,39.0
2018-12,33.0
2019-01,44.0
2019-02,42.0
2019-03,42.0
2019-04,43.0
2019-05,49.0
2019-06,47.0
2019-07,41.0
2019-08,40.0
2019-09,38.0
2019-10,35.0
2019-11,34.0
2019-12,28.0
2020-01,40.0
2020-02,37.0
2020-03,32.0
2020-04,26.0
2020-05,32.0
2020-06,37.0
2020-07,39.0
2020-08,40.0
2020-09,38.0
2020-10,34.0
2020-11,35.0
2020-12,28.0
2021-01,32.0
2021-02,29.0
2021-03,31.0
2021-04,29.0
2021-05,30.0
2021-06,31.0
2021-07,24.0
2021-08,21.0
2021-09,24.0
2021-10,25.0
2021-11,27.0
2021-12,24.0
2022-01,34.0
2022-02,32.0
2022-03,34.0
2022-04,33.0
2022-05,36.0
2022-06,37.0
2022-07,31.0
2022-08,28.0
2022-09,29.0
2022-10,26.0
2022-11,27.0
2022-12,23.0
2023-01,32.0
2023-02,30.0
2023-03,32.0
2023-04,30.0
2023-05,35.0
2023-06,34.0
2023-07,30.0
2023-08,29.0
2023-09,27.0
2023-10,26.0
2023-11,25.0
2023-12,22.0
2024-01,30.0
2024-02,27.0
2024-03,28.0
2024-04,32.0
2024-05,35.0
2024-06,31.0
2024-07,31.0
2024-08,29.0
2024-09,26.0
2024-10,25.0
2024-11,26.0
2024-12,24.0
2025-01,29.0
2025-02,28.0
2025-03,29.0
2025-04,28.0
2025-05,30.0
2025-06,29.0
2025-07,27.0
2025-08,26.0
2025-09,24.0
2025-10,22.0
2025-11,22.0
2025-12,20.0
2026-01,24.0
2026-02,24.0
2026-03,26.0
2026-04,27.0
